country,total_emissions,per_capita_emissions,pop,lifeExp,gdpPercap
Albania,3825.184,1.27,3600523,76.423,5937.029526
Algeria,77474.13,2.327,33333216,72.301,6223.367465
Angola,6146.691,0.314,12420476,42.731,4797.231267
Argentina,149476.04,3.819,40301927,75.32,12779.37964
Australia,365515.118,17.873,20434176,81.235,34435.36744
Austria,74764.026,9.09,8199783,79.829,36126.4927
Bahrain,20564.912,23.133,708573,75.635,29796.04834
Bangladesh,31960.244,0.223,150448339,64.062,1391.253792
Belgium,107676.772,10.275,10392226,79.441,33692.60508
Benin,2677.863,0.335,8078314,56.728,1441.284873
Bosnia and Herzegovina,15857.733,4.193,4552198,74.852,7446.298803
Botswana,4278.592,2.305,1639131,50.728,12569.85177
Brazil,311623.799,1.667,190010647,72.39,9065.800825
Bulgaria,46473.483,6.068,7322858,73.005,10680.79282
Cambodia,2639.032,0.199,14131858,59.723,1713.778686
Cameroon,2935.781,0.169,17696293,50.43,2042.09524
Canada,540431.495,16.762,33390141,80.653,36319.23501
Chile,54434.634,3.343,16284741,78.553,13171.63885
China,5407518.03,4.148,1318683096,72.961,4959.114854
Colombia,53585.3,1.238,44227550,72.889,7006.580419
Costa Rica,5463.059,1.286,4133884,78.782,9645.06142
Croatia,19917.214,4.484,4493312,75.748,14619.22272
Cuba,25051.431,2.22,11416987,78.273,8948.102923
Denmark,48494.944,8.949,5468120,78.332,35278.41874
Dominican Republic,17522.139,1.897,9319622,72.235,6025.374752
Ecuador,23926.725,1.742,13755680,74.994,6873.262326
Egypt,145027.708,1.889,80264543,71.338,5581.180998
El Salvador,6252.815,1.037,6939688,71.878,5728.353514
Eritrea,578.183,0.146,4906585,58.04,641.3695236
Ethiopia,4482.124,0.058,76511887,52.947,690.8055759
Finland,54918.043,10.469,5238460,79.313,33207.0844
France,371892.91,5.887,61083916,80.657,30470.0167
Gabon,1733.485,1.236,1454867,56.735,13206.48452
Germany,786664.297,9.672,82400996,79.406,32170.37442
Ghana,6306.508,0.293,22873338,60.022,1327.60891
Greece,95156.324,8.661,10706290,79.483,27538.41188
Guatemala,10621.597,0.811,12572928,70.259,5186.050003
Haiti,1980.992,0.214,8502814,60.916,1201.637154
Honduras,7192.737,0.976,7483763,70.198,3548.330846
Hungary,54722.182,5.425,9956108,73.338,18008.94444
Iceland,2235.38,7.552,301931,81.757,36180.78919
India,1073700.993,0.938,1110396331,64.698,2452.210407
Indonesia,317824.312,1.402,223547000,70.65,3540.651564
Iraq,73175.677,2.709,27499638,59.545,4471.061906
Ireland,44420.119,10.678,4109086,78.885,40675.99635
Israel,58796.711,8.447,6426679,80.745,25523.2771
Italy,456431.826,7.844,58147733,80.546,28569.7197
Jamaica,10281.648,3.746,2780132,72.567,7320.880262
Japan,1166814.399,9.133,127467972,82.603,31656.06806
Jordan,17922.443,3.137,6053193,72.535,4519.461171
Kenya,7483.192,0.208,35610177,54.11,1463.249282
Kuwait,64750.023,28.437,2505559,77.588,47306.98978
Lebanon,14523.599,3.643,3921278,71.993,10461.05868
Libya,43101.459,7.44,6036914,73.952,12057.49928
Malaysia,155842.735,6.074,24821286,74.241,12451.6558
Mauritius,2961.755,2.412,1250882,72.801,10956.99112
Mexico,412385.135,3.854,108700891,76.195,11977.57496
Mongolia,10984.928,4.349,2874127,66.803,3095.772271
Montenegro,2004.798,3.265,684736,74.543,9253.896111
Morocco,39215.868,1.285,33757175,71.164,3820.17523
Mozambique,1514.919,0.072,19951656,42.082,823.6856205
Myanmar,10477.314,0.216,47761980,62.069,944
Namibia,2492.652,1.227,2055080,52.906,4811.060429
Nepal,3074.201,0.12,28901790,63.785,1091.359778
Netherlands,167489.66,10.263,16570613,79.762,36797.93332
New Zealand,33690.287,8.122,4115771,80.204,25185.00911
Nicaragua,4032.083,0.75,5675356,72.899,2749.320965
Niger,736.144,0.054,12894865,56.867,619.6768924
Nigeria,56558.056,0.407,135031164,46.859,2013.977305
Norway,34500.489,7.463,4627926,80.196,49357.19017
Oman,25181.794,10.029,3204897,75.64,22316.19287
Pakistan,114969.678,0.747,169270617,65.483,2605.94758
Panama,6776.118,2.035,3242173,75.537,9809.185636
Paraguay,3472.665,0.599,6667147,71.752,4172.838464
Peru,28632.888,1.037,28674757,71.421,7408.905561
Philippines,71501.652,0.829,91077287,71.688,3190.481016
Poland,296261.105,7.763,38518241,75.563,15389.92468
Portugal,61385.798,5.845,10642836,78.098,20509.64777
Romania,92632.653,4.345,22276056,72.476,10808.47561
Saudi Arabia,298036.626,12.467,27601038,72.777,21654.83194
Senegal,4626.203,0.411,12267493,63.062,1712.472136
Serbia,50320.015,6.763,10150265,74.002,9786.534714
Singapore,36901.353,8.65,4553009,79.972,47143.17964
Slovenia,15443.058,7.718,2009245,77.926,25768.25759
South Africa,372313.634,7.626,43997828,49.339,9269.657808
Spain,333710.098,7.643,40448191,80.941,28821.0637
Sri Lanka,13392.91,0.686,20378239,72.396,3970.095407
Sudan,9927.598,0.254,42292929,58.556,2602.394995
Sweden,49105.656,5.438,9031088,80.884,33859.74835
Switzerland,44006.757,5.882,7554661,81.701,37506.41907
Thailand,200203.804,3.06,65068149,70.616,7458.396327
Togo,963.204,0.169,5701579,58.42,882.9699438
Trinidad and Tobago,17175.823,13.243,1056608,69.819,18008.50924
Tunisia,19472.77,1.928,10276158,73.923,7092.923025
Turkey,215892.986,3.155,71158647,71.777,8458.276384
United Kingdom,531648.669,8.8,60776238,79.425,33203.26128
Uruguay,5151.871,1.549,3447496,76.384,10611.46299
Zambia,2120.692,0.176,11746035,42.384,1271.211593
Zimbabwe,10272.774,0.794,12311143,43.487,469.7092981
